Invoice No.,Category,Item Name,Final Total,Qty.,Time of day
21460,Cold Coffee,Bon Bon (350 ML),334.05,1,Night
21460,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Night
21460,Cold Coffee,Iced Latte (350 ML),246.44,1,Night
21460,Extra Toppings,Add On Syrup (Add On hazelnuts Syrup),54.76,1,Night
21459,Cold Coffee,Origanal South Indian Frappe (350 ML),668.1,2,Night
21459,Extra Toppings,Add On Syrup (Add On hazelnuts Syrup),54.76,1,Night
21458,Cold Coffee,Vanilla Praline (350 ML),320,1,Night
21458,Hot Chocolate,Hot Chocolate (250 ML),280.01,1,Night
21457,Hot Coffee,Irish Americano (250 ML),246.44,1,Night
21456,Food Menu,Berliners (Dark Choco Mousse Berliner),76.68,1,Night
21455,Food Menu,Berliners (Dark Choco Mousse Berliner),76.68,1,Night
21455,SEASONAL MENU,Rosella Cheesecake Berliner,87.61,1,Night
21455,Cold Coffee,Nariyal Irish Cream Frappe (350 ML),334.05,1,Night
21455,Sweet,Papparoti (Add On Nutella sauce),268.32,1,Night
21454,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Night
21454,Cold Coffee,Nariyal Irish Cream Frappe (350 ML),334.05,1,Night
21453,Hot Chocolate,Hot Chocolate (250 ML),280.01,1,Night
21452,SEASONAL MENU,Strawberry White Chocolate Ganache With Rosella Jam Macaroon,175.24,2,Night
21452,Hot Coffee,Cafe Mocha (350 ML),284.76,1,Night
21452,SEASONAL MENU,Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),87.61,1,Night
21452,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Night
21451,Cold Coffee,Vanilla Praline (350 ML),350.48,1,Night
21451,Sweet,Papparoti (Add On Nutella sauce),268.32,1,Night
21450,Cold Coffee,Vanilla Praline (350 ML),350.48,1,Night
21450,Food Menu,Calzones Veg (Calzone Paneer),76.68,1,Night
21450,Food Menu,Calzones Veg (Calzone Paneer),76.68,1,Night
21449,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Night
21449,Sweet,Choco-crinkle-cookies (COMBO 3 PCS),76.68,1,Night
21449,Food Menu,Tartlets (Kacha Nimbu Tartlet),54.76,1,Night
21448,Cold Coffee,Origanal South Indian Frappe (350 ML),315,1,Night
C2376,Sweet,Papparoti (Plain),166.67,1,Night
C2376,Cold Coffee,Classic Frappe (350 ML),261.9,1,Night
21447,Cold Coffee,Vietnamese (450 ML),383.32,1,Night
21446,Hot Coffee,Cappucino (250 ML),246.44,1,Night
21446,Hot Chocolate,Hot Chocolate (250 ML),295.71,1,Night
21446,Food Menu,Berliners (Nutella Berliner),76.68,1,Night
21445,Hot Coffee,South Indian Filter Kaapi (150 ML),145,1,Night
21445,Food Menu,Berliners (Nutella Berliner),79.99,1,Night
21444,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Night
21436,SEASONAL MENU,Strawberry White Chocolate Ganache With Rosella Jam Macaroon,87.61,1,Night
21443,Hot Chocolate,Hot Chocolate (250 ML),295.71,1,Night
